,,,8783,328,103,104
EdgeCollision Calls,K,Software Time,No Unrolling,1 Unroll,2 Unrolls,3 Unrolls
1221,100,420949,10724043,400488,125763,126984
2986,250,1251955,26226038,979408,307558,310544
5719,500,1997546,50229977,1875832,589057,594776
8299,750,2907956,72890117,2722072,854797,863096
11148,1000,4798595,97912884,3656544,1148244,1159392
27203,2500,9172570,238923949,8922584,2801909,2829112
54499,5000,18509149,478664717,17875672,5613397,5667896
80952,7500,27833967,711001416,26552256,8338056,8419008
107487,10000,36311928,944058321,35255736,11071161,11178648